"","x"
"1",89.8590261229594
"2",107.278625681925
"3",38.5969562099099
"4",20.9193082378099
"5",64.1564137744058
"6",52.8665737577783
"7",105.376850429537
"8",23.0628244185199
"9",104.595968293891
"10",71.9547623566528
"11",94.0197426382737
"12",58.0277701202942
"13",79.8753961718041
"14",89.8666116452744
"15",31.5967455562908
"16",48.4237295218257
"17",94.651942704935
"18",45.275115548455
"19",11.6370907118831
"20",51.082366926261
"21",67.6176309100063
"22",45.1499818221609
"23",81.9239876452055
"24",88.7915487910881
"25",41.8103256717353
"26",42.3850671051654
"27",52.9764433509894
"28",91.6528869600577
"29",47.5031716329729
"30",60.1290928792
"31",71.1918273737908
"32",71.5459545925
"33",59.202675011318
"34",23.0555468794835
"35",37.3825800590441
"36",77.0959989335851
"37",62.7575951148564
"38",56.2311992506209
"39",70.7144772590166
"40",76.2320534525478
"41",101.535345879019
"42",17.7915221895791
"43",53.5460284584305
"44",77.0437084596319
"45",54.6080880010406
"46",0.394651857622513
"47",9.72736707705677
"48",74.9526069193685
"49",92.7075325465722
"50",30.5582014223079
"51",101.251299763339
"52",52.0390454208802
"53",74.4024574215704
"54",39.2049991156161
"55",30.8350255205952
"56",67.8457205620309
"57",62.2887055817907
"58",47.1325393860994
"59",12.6758597206355
"60",40.80151270485
"61",54.8743282522731
"62",91.7122489875537
"63",72.5018647393609
"64",76.4379570403731
"65",66.2768441382793
"66",88.3584817000225
"67",44.2251284075715
"68",12.1367315337688
"69",68.1773231837943
"70",29.8449511950413
"71",44.5396063109681
"72",97.2318687141795
"73",20.4374585717595
"74",141.319298023194
"75",14.3215737262032
"76",64.523682040114
"77",0.776688763327236
"78",10.0373494343496
"79",86.5905600999639
"80",45.6670778164281
"81",99.0455019446168
"82",9.87878666507248
"83",37.3982402650214
"84",51.5233668276921
"85",87.9499541361114
"86",116.095293839113
"87",71.3277040121634
"88",42.7597631933167
"89",82.2875711943807
"90",42.5787244085301
"91",33.5898611195011
"92",55.7042236104716
"93",57.211118301628
"94",41.1059385613635
